#node1	node2	label
BIRC5	DEPDC1	1
BIRC5	EXO1	1
BIRC5	RACGAP1	1
BIRC5	KIF15	1
BIRC5	GTSE1	1
BIRC5	RAD51	1
BIRC5	SHCBP1	1
BIRC5	TYMS	1
BIRC5	CDC45	1
BIRC5	HMMR	1
BIRC5	CDKN3	1
BIRC5	RRM2	1
BIRC5	HJURP	1
BIRC5	CEP55	1
BIRC5	CASP3	1
BIRC5	SPAG5	1
BIRC5	ZWINT	1
BIRC5	TK1	1
BIRC5	SPC24	1
BIRC5	KIF4A	1
BIRC5	PTTG1	1
BIRC5	TTK	1
BIRC5	MKI67	1
BIRC5	NEK2	1
BIRC5	CENPA	1
BIRC5	CCNA2	1
BIRC5	FOXM1	1
BIRC5	CENPF	1
BIRC5	CDCA3	1
BIRC5	KIF2C	1
BIRC5	KIF20A	1
BIRC5	TOP2A	1
BIRC5	PBK	1
BIRC5	BUB1	1
BIRC5	UBE2C	1
BIRC5	CDC20	1
BIRC5	CDK1	1
BIRC5	INCENP	1
BIRC5	CDCA8	1
BLM	RFC2	1
BLM	MSH2	1
BLM	MSH6	1
BLM	CDK4	1
BLM	BRIP1	1
BLM	TOPBP1	1
BLM	TIPIN	1
BLM	RAD18	1
BLM	FANCD2	1
BLM	FEN1	1
BLM	RMI2	1
BLM	FANCI	1
BLM	PIF1	1
BLM	ERCC6L	1
BLM	HELLS	1
BLM	RFC5	1
BLM	RAD54L	1
BLM	MDC1	1
BLM	CHEK2	1
BLM	RFC3	1
BLM	SMC6	1
BLM	TIMELESS	1
BLM	TOP2A	1
BLM	EME1	1
BLM	GEN1	1
BLM	CDC45	1
BLM	XRCC2	1
BLM	RFC4	1
BLM	CHEK1	1
BLM	BRCA2	1
BLM	BRCA1	1
BLM	DNA2	1
BLM	RAD51	1
BLM	EXO1	1
BLM	FANCA	1
BMP4	FGF10	1
BOLA3	ISCU	1
BOLA3	GLRX3	1
BORA	CCNB1	1
BORA	PLK4	1
BORA	PLK1	1
BORA	TPX2	1
BORA	NEK2	1
BORA	ECT2	1
BORA	INCENP	1
BORA	CDK1	1
BORA	RACGAP1	1
BRCA1	RFC2	1
BRCA1	CBX7	1
BRCA1	POLE2	1
BRCA1	STN1	1
BRCA1	RAD51AP1	1
BRCA1	MSH2	1
BRCA1	MSH6	1
BRCA1	CCNB1	1
BRCA1	CDK4	1
BRCA1	BRIP1	1
BRCA1	KIF23	1
BRCA1	TOPBP1	1
BRCA1	LMNB1	1
BRCA1	CCNE1	1
BRCA1	POLQ	1
BRCA1	RAD18	1
BRCA1	CDK2	1
BRCA1	SKP2	1
BRCA1	BUB1B	1
BRCA1	FANCD2	1
BRCA1	PCLAF	1
BRCA1	PLK1	1
BRCA1	TPX2	1
BRCA1	BUB1	1
BRCA1	CDC25A	1
BRCA1	FEN1	1
BRCA1	CBX2	1
BRCA1	RMI2	1
BRCA1	FANCI	1
BRCA1	CLSPN	1
BRCA1	HNRNPD	1
BRCA1	EZH2	1
BRCA1	CDC25C	1
BRCA1	POLE	1
BRCA1	PIF1	1
BRCA1	KNTC1	1
BRCA1	HSP90AA1	1
BRCA1	CBX3	1
BRCA1	E2F1	1
BRCA1	UBE2C	1
BRCA1	DNA2	1
BRCA1	VCP	1
BRCA1	XRCC2	1
BRCA1	DNMT1	1
BRCA1	WDHD1	1
BRCA1	EXO1	1
BRCA1	MKI67	1
BRCA1	CGAS	1
BRCA1	RAD54L	1
BRCA1	KIF2C	1
BRCA1	CDC20	1
BRCA1	MDC1	1
BRCA1	MZT1	1
BRCA1	DCLRE1C	1
BRCA1	RFC3	1
BRCA1	BRCA2	1
BRCA1	GEN1	1
BRCA1	CENPJ	1
BRCA1	CHEK2	1
BRCA1	NSD2	1
BRCA1	FANCA	1
BRCA1	RFC4	1
BRCA1	EME1	1
BRCA1	PSMC3IP	1
BRCA1	HMMR	1
BRCA1	CDK1	1
BRCA1	PARP3	1
BRCA1	KDM1A	1
BRCA1	NCAPG2	1
BRCA1	CSTF2	1
BRCA1	CHEK1	1
BRCA1	KIFC1	1
BRCA1	CDC45	1
BRCA1	RFC5	1
BRCA1	TOP2A	1
BRCA1	MCM10	1
BRCA1	HNRNPAB	1
BRCA1	KPNA2	1
BRCA1	FAAP24	1
BRCA1	RHNO1	1
BRCA1	UHRF1	1
BRCA1	UBE2T	1
BRCA1	CCNA2	1
BRCA1	RAD51	1
BRCA2	CBX7	1
BRCA2	RAD51AP1	1
BRCA2	MSH2	1
BRCA2	MSH6	1
BRCA2	CDK4	1
BRCA2	BRIP1	1
BRCA2	TOPBP1	1
BRCA2	POLQ	1
BRCA2	CDK2	1
BRCA2	BUB1B	1
BRCA2	FANCD2	1
BRCA2	PLK1	1
BRCA2	FEN1	1
BRCA2	CBX2	1
BRCA2	RMI2	1
BRCA2	FANCI	1
BRCA2	POLE	1
BRCA2	KNL1	1
BRCA2	UBE2C	1
BRCA2	DNA2	1
BRCA2	XRCC2	1
BRCA2	EXO1	1
BRCA2	RAD54L	1
BRCA2	CDC20	1
BRCA2	KIF4A	1
BRCA2	MDC1	1
BRCA2	DCLRE1C	1
BRCA2	RFC3	1
BRCA2	FAAP24	1
BRCA2	CDC45	1
BRCA2	EME1	1
BRCA2	GEN1	1
BRCA2	CCNA2	1
BRCA2	HMMR	1
BRCA2	CHEK1	1
BRCA2	FANCA	1
BRCA2	CHEK2	1
BRCA2	RAD51	1
BRIP1	MSH2	1
BRIP1	GEN1	1
BRIP1	WDHD1	1
BRIP1	EME1	1
BRIP1	UBE2T	1
BRIP1	RMI2	1
BRIP1	FAAP24	1
BRIP1	XRCC2	1
BRIP1	RHNO1	1
BRIP1	PIF1	1
BRIP1	DNA2	1
BRIP1	EXO1	1
BRIP1	CLSPN	1
BRIP1	FANCA	1
BRIP1	CHEK1	1
BRIP1	RAD51	1
BRIP1	FANCI	1
BRIP1	FANCD2	1
BRIP1	TOPBP1	1
BRIX1	TRMT6	1
BRIX1	BYSL	1
BRIX1	MPHOSPH10	1
BRIX1	NAT10	1
BRIX1	WDR12	1
BRIX1	NOP58	1
BRIX1	NSUN2	1
BRIX1	MRPL3	1
BRIX1	LSG1	1
BRIX1	NIFK	1
BRIX1	WDR75	1
BRIX1	FTSJ1	1
BRIX1	PUS7	1
BRIX1	NOL10	1
BRIX1	NOLC1	1
BRIX1	DKC1	1
BRIX1	WDR43	1
BRIX1	PAK1IP1	1
BRIX1	NOP56	1
BRIX1	PDCD11	1
BRIX1	RRP1B	1
BRIX1	GTPBP4	1
BTF3L4	NUP155	1
BTF3L4	NUP205	1
BUB1	TRIP13	1
BUB1	CDC6	1
BUB1	CENPM	1
BUB1	MCM5	1
BUB1	MYBL2	1
BUB1	OIP5	1
BUB1	RAD51AP1	1
BUB1	NCAPH	1
BUB1	DLGAP5	1
BUB1	E2F8	1
BUB1	PIMREG	1
BUB1	NCAPG	1
BUB1	CCNB1	1
BUB1	TROAP	1
BUB1	ESPL1	1
BUB1	KIF23	1
BUB1	KIF11	1
BUB1	NDC80	1
BUB1	MCM4	1
BUB1	PKMYT1	1
BUB1	KIF18A	1
BUB1	SGO1	1
BUB1	DEPDC1B	1
BUB1	CENPE	1
BUB1	CDK2	1
BUB1	PLK4	1
BUB1	NUF2	1
BUB1	CDCA5	1
BUB1	CENPU	1
BUB1	SPC25	1
BUB1	CENPH	1
BUB1	SKA1	1
BUB1	BUB1B	1
BUB1	CCNB2	1
BUB1	MAD2L1	1
BUB1	MELK	1
BUB1	PCLAF	1
BUB1	PLK1	1
BUB1	TPX2	1
BUB1	MCM3	1
BUB1	WDHD1	1
BUB1	NCAPG2	1
BUB1	TK1	1
BUB1	ERCC6L	1
BUB1	CKS1B	1
BUB1	RAD54L	1
BUB1	UBE2T	1
BUB1	SHCBP1	1
BUB1	KIF20B	1
BUB1	CENPN	1
BUB1	CKAP5	1
BUB1	MAPRE1	1
BUB1	SMC4	1
BUB1	KIF18B	1
BUB1	MCM7	1
BUB1	CKS2	1
BUB1	CDC7	1
BUB1	DTL	1
BUB1	TACC3	1
BUB1	KIF14	1
BUB1	ESCO2	1
BUB1	FOXM1	1
BUB1	RRM2	1
BUB1	KNTC1	1
BUB1	DEPDC1	1
BUB1	RAD51	1
BUB1	SKA3	1
BUB1	RFC4	1
BUB1	RACGAP1	1
BUB1	CDKN3	1
BUB1	TYMS	1
BUB1	CENPI	1
BUB1	INCENP	1
BUB1	CKAP2L	1
BUB1	CDCA3	1
BUB1	ZWILCH	1
BUB1	CKAP2	1
BUB1	CDCA2	1
BUB1	SGO2	1
BUB1	HMMR	1
BUB1	KIFC1	1
BUB1	CDC25C	1
BUB1	KIF15	1
BUB1	SPC24	1
BUB1	CEP55	1
BUB1	HJURP	1
BUB1	EXO1	1
BUB1	CDC45	1
BUB1	NEK2	1
BUB1	SPAG5	1
BUB1	PBK	1
BUB1	HASPIN	1
BUB1	DSN1	1
BUB1	CHEK1	1
BUB1	ECT2	1
BUB1	KIF4A	1
BUB1	UBE2C	1
BUB1	PTTG1	1
BUB1	KIF20A	1
BUB1	MKI67	1
BUB1	CENPA	1
BUB1	CDCA8	1
BUB1	CCNA2	1
BUB1	TOP2A	1
BUB1	CENPF	1
BUB1	ZWINT	1
BUB1	KIF2C	1
BUB1	CDK1	1
BUB1	TTK	1
BUB1	CDC20	1
BUB1	KNL1	1
BUB1B	TRIP13	1
BUB1B	CDC6	1
BUB1B	CENPM	1
BUB1B	CBX7	1
BUB1B	OIP5	1
BUB1B	RAD51AP1	1
BUB1B	NUP107	1
BUB1B	FBXO5	1
BUB1B	NCAPH	1
BUB1B	DLGAP5	1
BUB1B	KNSTRN	1
BUB1B	E2F8	1
BUB1B	NCAPG	1
BUB1B	CCNB1	1
BUB1B	TROAP	1
BUB1B	ESPL1	1
BUB1B	KIF23	1
BUB1B	KIF11	1
BUB1B	NDC80	1
BUB1B	KIF18A	1
BUB1B	SGO1	1
BUB1B	DEPDC1B	1
BUB1B	CENPE	1
BUB1B	SPDL1	1
BUB1B	PLK4	1
BUB1B	NUF2	1
BUB1B	CDCA5	1
BUB1B	CENPU	1
BUB1B	SPC25	1
BUB1B	CENPH	1
BUB1B	SKA1	1
BUB1B	ESCO2	1
BUB1B	CENPO	1
BUB1B	MAPRE1	1
BUB1B	TYMS	1
BUB1B	NCAPG2	1
BUB1B	CCNF	1
BUB1B	SMC4	1
BUB1B	RAD54L	1
BUB1B	RFC4	1
BUB1B	MCM10	1
BUB1B	CBX2	1
BUB1B	SHCBP1	1
BUB1B	SPC24	1
BUB1B	MCM7	1
BUB1B	EXO1	1
BUB1B	CDC25C	1
BUB1B	DTL	1
BUB1B	CDC45	1
BUB1B	FANCI	1
BUB1B	CKAP5	1
BUB1B	ERCC6L	1
BUB1B	KIF18B	1
BUB1B	DEPDC1	1
BUB1B	CENPN	1
BUB1B	KIFC1	1
BUB1B	ECT2	1
BUB1B	SGO2	1
BUB1B	CENPK	1
BUB1B	PCLAF	1
BUB1B	CHEK1	1
BUB1B	KIF14	1
BUB1B	HMMR	1
BUB1B	CDCA3	1
BUB1B	CKAP2	1
BUB1B	CDKN3	1
BUB1B	HJURP	1
BUB1B	DSN1	1
BUB1B	CENPI	1
BUB1B	INCENP	1
BUB1B	CDCA2	1
BUB1B	RACGAP1	1
BUB1B	KNTC1	1
BUB1B	RRM2	1
BUB1B	KIF15	1
BUB1B	MKI67	1
BUB1B	TPX2	1
BUB1B	PBK	1
BUB1B	CEP55	1
BUB1B	RAD51	1
BUB1B	FOXM1	1
BUB1B	TACC3	1
BUB1B	SPAG5	1
BUB1B	ZWILCH	1
BUB1B	MELK	1
BUB1B	KIF4A	1
BUB1B	SKA3	1
BUB1B	KIF20A	1
BUB1B	PTTG1	1
BUB1B	TOP2A	1
BUB1B	CENPA	1
BUB1B	KIF2C	1
BUB1B	TTK	1
BUB1B	UBE2C	1
BUB1B	CCNB2	1
BUB1B	CCNA2	1
BUB1B	CDCA8	1
BUB1B	ZWINT	1
BUB1B	NEK2	1
BUB1B	PLK1	1
BUB1B	CDC20	1
BUB1B	CENPF	1
BUB1B	MAD2L1	1
BUB1B	KNL1	1
BUB1B	CDK1	1
BYSL	CMSS1	1
BYSL	PAK1IP1	1
BYSL	NOLC1	1
BYSL	EXOSC2	1
BYSL	DKC1	1
BYSL	RRP1B	1
BYSL	WDR12	1
BYSL	LSG1	1
BYSL	NIFK	1
BYSL	GTPBP4	1
BYSL	RTCA	1
BYSL	RIOK1	1
BYSL	RRP36	1
BYSL	UTP14A	1
BYSL	WDR75	1
BYSL	NOP56	1
BYSL	NOP58	1
BYSL	PDCD11	1
BYSL	TROAP	1
BYSL	WDR43	1
BYSL	MPHOSPH10	1
BYSL	PNO1	1
BYSL	NAT10	1
BYSL	NOL10	1
C1orf112	PARPBP	1
CACYBP	HSP90AA1	1
CAD	CTPS1	1
CAD	GMPS	1
CAD	GART	1
CAD	GOT1	1
CALR	SEC61A1	1
CALR	RPN1	1
CALR	HSP90B1	1
CALR	NCL	1
CALR	DNAJB11	1
CALR	VCP	1
CALR	GAPDH	1
CALR	PDIA6	1
CALR	HYOU1	1
CALR	HSP90AA1	1
CALR	PDIA4	1
CALR	HSP90AB1	1
CASP2	CYCS	1
CASP2	CASP3	1
CASP3	CCNB1	1
CASP3	CDK4	1
CASP3	CDK2	1
CASP3	SKP2	1
CASP3	CYCS	1
CASP3	CCNA2	1
CASP3	CHEK1	1
CASP3	HSPD1	1
CASP3	TXN	1
CASP3	STK26	1
CASP3	HSP90AB1	1
CASP3	CDK1	1
CASP3	HSP90AA1	1
CASP3	GAPDH	1
CASP3	PARP3	1
CBX1	SGO1	1
CBX1	DNMT3A	1
CBX1	CHAF1A	1
CBX1	CHAF1B	1
CBX1	EZH2	1
CBX1	CBX3	1
CBX1	SUV39H2	1
CBX1	DNMT1	1
CBX1	DSN1	1
CBX2	CBX7	1
CBX2	SCML2	1
CBX2	H2AZ1	1
CBX2	RAD51	1
CBX2	UBE2C	1
CBX2	EZH2	1
CBX3	SRSF1	1
CBX3	WDR76	1
CBX3	H2AZ1	1
CBX3	CHAF1A	1
CBX3	CHAF1B	1
CBX3	EZH2	1
CBX3	DNMT3B	1
CBX3	CENPA	1
CBX3	E2F1	1
CBX3	HNRNPA2B1	1
CBX3	SUV39H2	1
CBX3	WDR5	1
CBX3	DNMT1	1
CBX3	DSN1	1
CBX3	KDM1A	1
